beta,q,shat,electron_temp_gradient,electron_dens_gradient,deuterium_temp_gradient,kappa,delta,beta_prime,IBMgr,isIBMunstable,run_timestamp
0.016267909,4.987304623,0.839847271,2.016698846,0.525075445,1.939688327,2.304598525401821,0.4433464388094085,-0.0827644311944424,-0.03892065589196208,False,2026-03-26T11:40:09.169572+00:00
0.000891238,3.05372875,1.111864763,0.341425749,0.456605549,0.315756242,1.0875506472779932,0.6524790593026026,-0.001422229803769607,-0.04077665124440463,False,2026-03-26T11:40:09.169572+00:00
0.015766538,4.699275892,0.463977191,1.323979255,0.832004071,0.574915365,1.0400591737484337,0.7350058339387147,-0.0569040776217754,-0.04341815834527712,False,2026-03-26T11:40:09.169572+00:00
0.004936466,3.007902803,0.527651397,0.918305778,0.954784455,1.624260644,2.67842516502206,0.4191495019197543,-0.022396470009972257,-0.026997228020404083,False,2026-03-26T11:40:09.169572+00:00
0.008239459,4.27191109,1.15366945,1.299883426,1.183582086,2.346120096,2.174286095176117,0.5399266981641748,-0.05050160180577746,-0.03379482634487751,False,2026-03-26T11:40:09.169572+00:00
0.014287149,4.697126962,0.682365548,1.379510368,0.553604463,1.83539157,1.4494104604072489,0.6583088770837195,-0.06287302864570775,-0.04708481674553875,False,2026-03-26T11:40:09.169572+00:00
0.003546135,4.837827065,0.372263963,2.047015624,0.660156903,1.080326402,2.5035845436372313,0.5749847428842271,-0.015974946236176103,-0.013743814770838783,False,2026-03-26T11:40:09.169572+00:00
0.016198609,4.896378458,0.530194353,1.915325684,0.590526346,2.553268705,1.5273843949567494,0.7461504667475114,-0.09319103325046188,-0.04664991810909861,False,2026-03-26T11:40:09.169572+00:00
0.016802871,3.59331363,0.921268657,1.813936962,1.111092409,1.997458584,1.839955819432536,0.7793883108572072,-0.10309907640558125,-0.07355620326331537,False,2026-03-26T11:40:09.169572+00:00
0.013214504,4.660941839,0.925537111,1.28985058,0.892217308,1.641188225,1.9020627740022178,0.30404562596607265,-0.06341351509142995,-0.03935277863481202,False,2026-03-26T11:40:09.169572+00:00
