,q,shat,beta,gamma_exb,electron_dens_gradient,electron_nu,betaprime,electron_temp_gradient,deuterium_temp_gradient,isapar,isbpar,psi_n,shift,delta,deltaprime,kappa,kappaprime,electron_nu.1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,betaprime_correct,IBMgr
3916,4.267765546,0.864008957,0.00183037,0.028936736,0.550971042,0.000503282,-0.031262329,0.625930329,0.978853363,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.005046388956160534,-0.019227732293852832
3917,3.506933172,0.986446512,0.008661602,0.075676744,0.470783367,0.000459716,-0.02876231,0.806115148,0.681786506,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.021371370203386104,-0.02088733212693067
3918,4.921121985,0.390645874,0.015244104,0.065615752,0.914158228,0.000279686,-0.039943156,0.439033555,0.791604656,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.047486093896706646,-0.019900616273304816
3919,3.639518233,0.446256095,0.016906285,0.000596554,1.065565454,0.000503554,-0.0082298,2.07476601,2.045725786,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.10742141351438729,-0.03643462278841699
3920,3.832456423,0.551886036,0.005805702,0.03955727,1.193935876,0.000457215,-0.035182958,1.584560999,1.505363494,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03231778485957409,-0.011289600834864903
3921,4.456136747,0.396300857,0.017557796,0.033344622,0.859172116,0.000422903,-0.022448593,0.417670428,0.774422416,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.05204404307988599,-0.020153532378568793
3922,3.200743906,0.947490991,0.016410724,0.023324128,0.991988561,0.000436832,-0.00656172,0.656980942,0.372238044,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.05018492962995132,-0.011993453840172912
3923,4.227145009,0.953398753,0.002205019,0.085880027,0.803975722,0.000455711,-0.01669041,0.301840876,0.351253359,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.005069413562438121,-0.02105890305078181
3924,3.727131575,0.957555405,0.013393602,0.028472771,0.502273964,0.000316235,-0.045398439,0.559369024,0.9347115,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.034098529483077074,-0.012452490058210334
3925,4.886388262,1.14636913,0.012479498,0.006623736,1.214016558,0.000391831,-0.082512072,2.152339529,2.222039593,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.08630075413628234,-0.03263160735290079
3926,3.733596506,1.096654854,0.008418252,0.008943977,0.939154214,0.000438081,-0.051218434,1.636481084,2.233221022,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.049266390181779175,-0.012039352719962508
3927,4.774715278,0.601333466,0.00250471,0.013128049,0.979574092,0.000276991,-0.037018942,2.156793404,2.140168584,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.01592669710781534,-0.008914104608103995
3928,4.684279507,0.540324804,0.012825303,0.045919642,0.894012235,0.000344879,-0.064831422,0.364050113,1.780301311,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.051561788678925184,-0.020326280513542575
3929,3.141452301,0.604761945,0.007623565,0.060220633,0.456766814,0.000350101,-0.041012402,1.338385873,1.543172407,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.029433497630455652,-0.017054144957285033
3930,4.234061355,0.77033744,0.00911617,0.052273314,0.806915793,0.000296644,-0.098764894,1.25682563,0.980469721,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03564333952481248,-0.011548520350038794
3931,3.587164585,1.160603732,0.008535157,0.07508304,0.782850362,0.000323727,-0.030416439,0.699707789,1.188917366,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03003662598672612,-0.015976392337507108
3932,3.37783528,1.122915818,0.016756483,0.029687473,0.810737502,0.000350845,-0.029132183,0.388353654,0.474942485,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.04234445596058226,-0.013165202214193483
3933,4.681412609,0.523345725,0.006124133,0.064488976,0.670260779,0.000378591,-0.052623163,1.304761302,1.16861053,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.023727110629484804,-0.009447137118253157
3934,3.519719557,0.794827036,0.009569984,0.087936906,0.709329353,0.000289034,-0.079716462,0.703212837,1.26669963,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03305042249100078,-0.013477868362688921
3935,4.215039826,0.690658489,0.010297315,0.072937995,0.655711074,0.000274543,-0.077939812,1.965188959,2.038612663,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0556448704782139,-0.018817191150057304
3936,3.323526595,0.661210489,0.014074934,0.041702753,0.560653664,0.000291433,-0.047468326,0.931581841,0.808091647,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.04090162187243152,-0.01249488991383878
3937,4.564918425,0.613707129,0.003362172,0.010773682,1.080654547,0.000421623,-0.016136394,1.155306077,1.361143048,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.01599739497511613,-0.009773766268201763
3938,4.692619912,0.634644949,0.017302583,0.065012936,1.038231726,0.000384471,-0.096217614,2.433440508,2.030164297,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.11490591157648486,-0.04163198665554484
3939,4.41883991,0.881507895,0.002459479,0.090456942,0.791208206,0.000326358,-0.08295452,1.032601445,1.356818918,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.009942374972795171,-0.015245733304894319
3940,4.178834359,0.322531706,0.003593051,0.031198508,0.851349561,0.000424918,-0.020872783,1.306402376,1.534685356,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.01660797518179984,-0.009603087558713896
3941,3.59279604,1.04703587,0.001033307,0.085613593,0.748048249,0.000456153,-0.04263409,1.941251673,1.087554867,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.004737985985080076,-0.03231300860417285
3942,4.567864905,0.990036178,0.010531935,0.01550919,1.115644242,0.000330571,-0.076480082,1.556450528,2.181439277,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.06400887557611867,-0.023540500926000928
3943,3.098035481,0.850737634,0.006810796,0.018955193,1.155124764,0.000456853,-0.070680851,0.379896823,0.72191049,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.023659212550773204,-0.025287679065496064
3944,4.79406945,0.61145703,0.00658926,0.042547826,0.563178936,0.000499295,-0.094090837,1.451633784,1.815249284,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.029463563841029473,-0.010921676526324522
3945,3.050222282,0.385038296,0.01030428,0.063513484,1.19203222,0.000486493,-0.06931393,2.082067107,1.860714583,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0662279974896424,-0.012535881148827054
3946,4.286718661,1.057025079,0.006100043,0.098549006,1.050319186,0.000431607,-0.016176527,0.366113073,0.383768211,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.017675959470597746,-0.013798603964643521
3947,4.223509522,0.652561561,0.010656056,0.030485858,0.859138645,0.000387281,-0.035650184,1.65038027,1.894096854,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.05704497039134709,-0.01968574752397749
3948,4.068976884,1.052224827,0.008246523,0.030055148,1.174752954,0.000482121,-0.080124847,1.385108785,1.35914454,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0426929366742928,-0.012142505463308176
3949,3.796611761,0.763257515,0.008736696,0.081322817,0.932757655,0.000390844,-0.075051313,0.461237237,0.218054927,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.022563832497467493,-0.014078044343841767
3950,3.493786339,1.169448182,0.007052744,0.018155105,0.637016165,0.000296015,-0.092566295,2.152392626,1.574549747,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.035783502399338994,-0.014513933545674587
3951,4.847914277,0.745457882,0.00579684,0.082828781,0.935126926,0.000313484,-0.016899224,2.267013573,2.45551319,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03886362470545344,-0.014404041540748697
3952,3.039604329,1.166109407,0.012574562,0.019589229,0.931178173,0.00050463,-0.013136065,2.285627501,1.646145447,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.07392435860270073,-0.008244388657425104
3953,3.561550427,0.393360263,0.00459172,0.067164112,1.020301639,0.000439675,-0.00600537,2.191017553,1.756137535,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.027913332827654562,-0.01181508013893145
3954,4.514600832,0.777410854,0.012128567,0.000451871,0.622529078,0.000428283,-0.072811518,0.441580703,1.152767888,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03514598187193445,-0.011909796119233233
3955,3.227417852,1.203669924,0.011731962,0.060139094,0.563590957,0.000354901,-0.023706873,1.270411408,1.1405621,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.04216695199307587,-0.015045274496919583
3956,4.642092205,0.835753032,0.010005791,0.019848553,0.533068117,0.000438734,-0.064278521,1.512913415,1.434508687,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.04080621387580376,-0.01420444589050498
3957,3.87998439,0.497710268,0.000730472,0.051771336,0.818703161,0.000298489,-0.009961632,1.871866182,1.888773125,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.004008156578143068,-0.0165605999830518
